数据源,标题,情感,label
网站,小区围墙雨天垮塌 居民财产受损：这个责任谁来担 听听律师怎么说,2,2
网站,因为家庭不和睦，男子盗窃十几条内衣，事后：为了缓解压力,2,2
网站,淮安小营新渡派出所民警李义浩：“我”的第一面锦旗,1,0
APP,隔壁没锁门 女子找俩力工把盘锦邻居家搬空,2,0
APP,措不及防！裤子都没来得及穿就被抓了,1,0
APP,嫌送餐太累，四个送餐小哥转行“偷车”，赃款只为泡网吧、酒吧,2,0
网站,民警狂奔百米抓贼 手掌骨折浑然不知,1,0
网站,滇池星城星茴湾小区 : 持械破门、爬窗 4 户人家一夜被盗,2,2
APP,房价趋稳，暴富梦碎！靠拆迁成千万，亿万富翁的时代已过,1,2
网站,致敬消防人员！小区失火大半夜赶往现场,1,1
APP,城事｜又是高空抛物！8斤重的灭火器从天而降、高空落下的红砖差点砸中孕妇……,2,2
APP,男子假装拍照偷金项链逃至保定顺平被抓获,1,2
APP,咋想的？淄博一男子为停车方便私拆阻车桩，这下摊上事了！,2,2
APP,奇葩！男子9天纵火12起 竟是因为爱看消防员灭火,2,2
电子报纸,男子见到警车掉头就跑,2,2
APP,宝妈注意！有人专偷婴儿车内财物 外出要注意防盗,1,1
网站,今年“四案”全破，116个小区零发案 武汉“平安密码”,1,0
APP,【警示】在家做饭，这10种行为千万别干！搞不好家毁人亡！,2,2
APP,咋想的？淄博一男子为停车方便私拆阻车桩，这下摊上事了,2,2
网站,金宝派出所：联控联动联防践行“枫桥经验”,1,0
APP,聪明用错地方！清新有人非法自制枪支，被公交一举抓获,1,2
APP,无业男想赚钱，“热心”大哥主动帮忙，次日果断报警！,2,0
网站,人民代表大人民代表大会核心制度人民,0,0
APP,又维权！新房惨变水帘洞！天花板惊现牛仔裤！、,2,2
网站,滇池星城星茴湾小区:持械破门、爬窗4户人家一夜被盗,2,2
网站,共同守好这道门 小区门禁如何让业主都买账？,0,0
网站,淄博一男子为停车方便私拆阻车桩 这下摊上事了,2,2
网站,理财银行理财银行,0,0
微信,外卖员进小区送饭，待了七小时才出门，民警：送的是“全套服务”,2,0
APP,创建“枫桥式公安派出所”| 徐州大龙湖派出所：党建引领 精准发力 打造平安高地,1,0
APP,超硬核“男团”！蓝鲨突击队,0,0
网站,9天纵火12起，竟是因为爱看消防员灭火！,2,2
网站,盗窃罪裁判要旨汇总（1）——2018年第34期（总第115期）,2,0
微信,【石首住建】城区“三无”小区变身记！,0,0
网站,洛阳市公安局邙山分局：战时表彰奖励 鼓舞士气斗志,1,0
微信,【马坝网】盱眙这个小区惊现飞贼！！！,2,0
网站,吃进去的板栗，竟然在她嘴里“啪”一声炸了,2,0
网站,无业男想赚钱，“热心”大哥来帮忙，次日果断报警！,2,0
APP,广州城中村一出租屋被烈火吞噬，罪魁祸首又是这个？,2,0
网站,电动车可在小区办理临时号牌？,0,0
网站,一男子进入旅店拿走手机被拘,2,0
电子报纸,"代收点顺走快递,男子作案十余起",2,2
电子报纸,泰州野徐派出所多破“小案件”服务“大民生”,1,0
微信,看！盱眙这个小区惊现飞贼！！！,1,0
APP,柳州警方已抓获55名电瓶仔! 看看是不是偷你电瓶的?,1,2
微信,居民自治，太原这个无物业小区焕发生机,1,1
微信,【围观】晋城公园里小区抓捕现场曝光！,1,0
网站,广州：老小区微改造 居民满意度高,1,0
电子报纸,民警端掉一偷电瓶团伙,1,0
网站,最美市场监管人朱信贞：特种设备安全无小事 用行动铸就红盾之魂,1,0
微信,【践行新使命 忠诚保大庆】信江公安分局破获2起盗窃案件,1,1
APP,修路挖断水管网线，潍坊网友投诉后施工方完善应急预案,1,0
电子报纸,实行打防并举，多破“小案件”服务“大民生”,1,0
电子报纸,持械破门、爬窗 4户人家一夜被盗,2,2
网站,和平公安抓获一名专偷不上锁自行车男子,1,0
APP,9月20日 邓州那些事,0,0
APP,这个外卖小哥，丢车都丢出经验来了！车上安了个设备，一举端了一个团伙,1,0
APP,“老下关”是樊宇的“乡愁”,0,0
微信,【重要】晋城某小区，鬼鬼祟祟的俩人被抓现行！,2,2
微信,吓到魂飞魄散！卡城Silverado小区居民还在露台上，突然！露台就塌…塌…塌了~,2,0
网站,谷歌,0,0
电子报纸,退伍勇士 飞车再追贼,1,0
微信,长沙德润园小区天降红砖 差点砸中孕妇,2,2
网站,补缴2万余元！盗气行为难掩耳目，蛛丝马迹露出破绽,2,0
APP,半年偷了11辆山地自行车，多是尝试几次就打开了密码锁,2,2
APP,朋友圈 | 宝妈注意！有人专偷婴儿车内财物 外出要注意防盗,1,1
APP,硬核！民警深夜抓捕 掌骨骨折不自知！,1,0
网站,精准打击 净化治安环境,1,1
网站,黄晓明杨颖,0,0
网站,智慧小区充分利用物联网、大数据等信息技术，对小区内建筑物、设备、人员等进行智能化管理,1,1
网站,节日期间节日安全,0,0
APP,"【身边的马天民】从“杂、难、弱”到“零发案”, 他始终在路上!",1,0
微信,江都20多个小区实行刷脸进门，你准备好了吗？,0,0
APP,【不忘初心 牢记使命】身边的典型——商丘市公安局平原分局社区民警张倩,1,1
网站,沙特石油设施遇袭,2,0
网站,中国男篮阵容男篮,0,0
微信,张店这个小区门口的阻车桩为何频频被私拆？人抓到了！,2,0
网站,许昌交警助力“云剑”追逃行动,1,1
网站,技术开锁跨省作案 遇到民警被一窝端安迪两任男友,1,2
微信,社区老党员主动挑“大梁”无物业老旧小区换新颜,1,0
APP,动真格！南宁警方威武“亮剑”，抓获143人，涉案金额达130万！,1,2
APP,生活早报 || “办公室小野”团队已经解散,2,2
APP,一周之内! 石家庄百余辆轿车被砸! 竟只因...,2,2
电子报纸,武汉“平安密码”,0,0
APP,阳台不要装防盗网，学学人家这么装，省钱实用又安全,1,0
APP,【扫黑除恶进行时】铜川公安机关 “六个强化” 深入推进扫黑除恶专项斗争治乱工作,1,1
网站,金狮社区移除危树为居民解决隐患,1,1
APP,葫芦岛市公安局禁毒支队：成功捣毁两个制毒窝点,1,1
网站,裸捐上海兩套房和百萬現金，這對老夫妻為了啥？,1,0
网站,飞进元丰天山花园的“海鸥”，筑起“智能安防”屏障,1,0
电子报纸,案发14小时嫌疑人落法网,1,0
网站,省社会保险基金管理局网,0,0
网站,科技创新科技城市,0,0
网站,郑爽颜料挑战,0,0
网站,小微金融金融小微,0,0
网站,90后屡盗不改 连入高墙电网,2,2
网站,鞋子新鞋,0,0
APP,深圳福田警方打掉一利用网银U盾作案犯罪团伙,1,2
网站,电动车可在小区办理临时号牌？ 邮政公司：在做前期宣传 肥城市已发放电动自行车号牌19206面,1,0
网站,期权股票买股票,0,0
电子报纸,顺手“牵”走名酒茶叶,2,0
网站,滢水山庄出现局部空洞，物业近期会将空洞修复,1,0
APP,西安持续降雨近10天，这些天里都发生了什么？,2,0
网站,携程火车票,0,0
APP,永年警方打响追逃会战！9月份以来，抓捕9名逃犯，3人主动投案,1,1
网站,嘉年华澳门江苏水韵,0,0
网站,嘉定区厂房检测哪家好,0,0
网站,走错门一念之差撬开抽屉 男子没偷到钱却获刑7月,2,2
网站,多次被抓后他自作聪明 民警：戴个头盔就不认识你了？（视频）,1,0
微信,【以案释法】不偷钱财只偷花，照样批捕！,2,2
微信,惊！斗门某小区凌晨一女子在睡梦中被摸脚，睁开眼发现...,0,0
网站,白云居民区召开业主征询大会,1,0
网站,万物皆金融：从月饼、大闸蟹到美元，为什么降息不太妙？,2,2
APP,"哈尔滨4个“土豪”送餐小哥, “坐拥”30多辆摩托车! 万万没想到……",2,0
APP,"嫌送餐太累, 四个送餐小哥转行“偷车”, 赃款只为泡网吧、酒吧",2,0
网站,身份证办身份证,0,0
网站,未央民警放弃休假蹲守三日成功破案涉毒案件,1,1
电子报纸,“压警情、严整治、促规范” 警情治理攻坚会战取得初步成效,2,0
网站,万科青岛小镇上新智能三辊闸机,0,0
网站,动真格！南宁警方威武“亮剑”，抓获 143 人，涉案金额达 130 万！,1,2
电子报纸,为方便自己停车　私拆阻车桩,2,2
微信,漳州警民携手日夜蹲守48小时，终于抓到了这个人！,1,1
APP,嫌送餐太累 四个“外卖哥”转行偷摩托偷到同行头上,2,2
微信,大快人心！警方连抓64个电瓶仔，鱼峰、柳江、鹿寨…一个不放过,1,0
微信,"莱西一男子贪心“顺走”别人的包裹,结果...",2,0
网站,南安,0,0
电子报纸,检察官适用从宽制度速裁结案,1,0
网站,爱国情 奋斗者 | 社区民警晏腾飞：老社区新方法 一心为民保平安,1,0
网站,初三化学：20个常用实验器材一览，学化学必须掌握！,1,1
微信,平邑抓贼现场！画面曝光！,1,0
APP,天然气泄漏传感器模块助力小区燃气安全管理系统,2,1
微信,江洋大盗流窜到天门欲偷保险柜，天门公安已抓捕！,1,2
微信,大动作！最近柳州警方抓了一大批&quot;电瓶仔&quot;，快看你认不认识？,1,0
微信,柳州，一座守不住电瓶的城市？64个电瓶仔抓你没商量！,1,0
网站,莱西：从代收点顺走他人快递男子作案10余起被抓,1,2
微信,大单！查获被盗电动车13辆，电瓶120多个，柳南警方成功端掉一个收赃窝点！,1,1
微信,柳州警方连抓64个“电瓶仔”！可能就是他们偷你电瓶！,1,2
微信,山东：快递还敢让别人代收吗？男子网购取件时竟顺走多件快递！,2,0
APP,刚察县公安局巡警大队强化措施，创新巡逻防控模式,1,0
微信,小区高层突然起火，物业再次提醒你，要时刻注意“三清”“三禁”！,1,2
APP,车内物品被盗，原因竟在车主！警惕这些错误行为！,2,2
APP,张店: 为停车方便私拆阻车桩 损毁道路公共设施被依法拘留,2,2
APP,两吨建材一夜间不翼而飞，查监控竟是一人所为，民警：不可思议,2,0
APP,男子网购新型开锁工具试手，钻着钻着房主开门了,2,0
网站,守护|难忘民族盛会牢记使命再出发,1,1
网站,找车寻人不再难 宁乡市利用智能大数据助力平安城市建设,1,1
网站,创建全国文明城市，社会环境整治组在行动！,1,1
网站,小区环境,0,0
APP,"咋想的? 淄博一男子为停车方便私拆阻车桩, 这下摊上事了!",2,2
网站,案发14小时嫌疑人落法网_部门动态_新闻_本溪市人民政府门户网站,1,0
网站,案发14小时嫌疑人落法网_民生资讯_新闻_本溪市人民政府门户网站,1,0
网站,保安监守自盗逍遥6年后被抓 吃八宝粥留下DNA成罪-黄埔新闻网,2,0
微信,莱西28岁男子居然偷快递！刑事拘留！,2,2
网站,波多黎各意大利,0,0
APP,德阳: 旌阳公安强力打造“智慧警务” 推动“主动警务”战略提档升级,1,1
APP,"警力严重不足的上海却是全球最安全的城市之一, 靠的是什么?",1,0
APP,云南昆明：以为是“千里姻缘‘微信’牵” 没想到却引狼入室……,2,2
APP,云南昆明：以为是“千里姻缘‘微信’牵”，没想到却引狼入室……,2,2
网站,两名瘾君子专偷车内财物 未央民警：不能丢了手机再被刷了钱,2,0
APP,鹰潭一小车车窗遭砸 17万元财物被盗? 公安迅速侦破该案,1,2
APP,我局严打侵财再获战果,1,0
电子报纸,“18楼我也敢爬”,0,0
网站,西安陕西时间,0,0
网站,百姓更和顺 社区更和美 辖区更和谐,0,0
微信,在肃宁偷电车的这个小孩，该不该公布你的照片？谁丢过电动车？请留言！,1,2
微信,那个一宿连砸41台车的快递员被抓了…,1,2
微信,赵州派·丢人◆赵县一男子偷电动车被抓......,1,2
微信,赵县一男子偷电动车被抓......,1,2
APP,继承儿子遗愿 上海老夫妻裸捐两套房和百万现金,1,0
网站,围墙上摆花盆 安全隐患大 社居委：尽快排查和处理,2,2
网站,休市股市,0,0
